t_seconds,iso_time,node,private_mb
0.017,2026-04-22T23:30:45,0,1047.22
0.017,2026-04-22T23:30:45,1,1.65
1.025,2026-04-22T23:30:46,0,2671.62
1.025,2026-04-22T23:30:46,1,1.65
2.044,2026-04-22T23:30:48,0,4310.03
2.044,2026-04-22T23:30:48,1,1.65
3.072,2026-04-22T23:30:49,0,5965.55
3.072,2026-04-22T23:30:49,1,1.65
4.110,2026-04-22T23:30:50,0,7635.59
4.110,2026-04-22T23:30:50,1,1.65
5.156,2026-04-22T23:30:51,0,7812.96
5.156,2026-04-22T23:30:51,1,1.65
6.203,2026-04-22T23:30:52,0,7812.97
6.203,2026-04-22T23:30:52,1,1.65
7.250,2026-04-22T23:30:53,0,7812.97
7.250,2026-04-22T23:30:53,1,1.65
8.297,2026-04-22T23:30:54,0,7812.97
8.297,2026-04-22T23:30:54,1,1.65
9.345,2026-04-22T23:30:55,0,7812.97
9.345,2026-04-22T23:30:55,1,1.65
10.392,2026-04-22T23:30:56,0,7812.97
10.392,2026-04-22T23:30:56,1,1.65
11.439,2026-04-22T23:30:57,0,7812.97
11.439,2026-04-22T23:30:57,1,1.65
12.486,2026-04-22T23:30:58,0,7812.97
12.486,2026-04-22T23:30:58,1,1.65
13.532,2026-04-22T23:30:59,0,7812.97
13.532,2026-04-22T23:30:59,1,1.65
14.580,2026-04-22T23:31:00,0,7812.97
14.580,2026-04-22T23:31:00,1,1.65
15.627,2026-04-22T23:31:01,0,7812.97
15.627,2026-04-22T23:31:01,1,1.65
16.674,2026-04-22T23:31:02,0,7812.97
16.674,2026-04-22T23:31:02,1,1.65
17.720,2026-04-22T23:31:03,0,7812.97
17.720,2026-04-22T23:31:03,1,1.65
18.767,2026-04-22T23:31:04,0,7814.98
18.767,2026-04-22T23:31:04,1,1.65
19.815,2026-04-22T23:31:05,0,0.0
19.815,2026-04-22T23:31:05,1,0.0
