t_seconds,iso_time,node,private_mb
0.016,2026-04-23T00:02:13,0,1025.41
0.016,2026-04-23T00:02:13,1,1.65
1.026,2026-04-23T00:02:14,0,2648.59
1.026,2026-04-23T00:02:14,1,1.65
2.045,2026-04-23T00:02:15,0,4282.8
2.045,2026-04-23T00:02:15,1,1.65
3.072,2026-04-23T00:02:16,0,5933.16
3.072,2026-04-23T00:02:16,1,1.65
4.109,2026-04-23T00:02:17,0,7591.64
4.109,2026-04-23T00:02:17,1,1.65
5.152,2026-04-23T00:02:18,0,7813.02
5.152,2026-04-23T00:02:18,1,1.65
6.195,2026-04-23T00:02:19,0,7813.02
6.195,2026-04-23T00:02:19,1,1.65
7.242,2026-04-23T00:02:20,0,7813.02
7.242,2026-04-23T00:02:20,1,1.65
8.289,2026-04-23T00:02:21,0,7813.02
8.289,2026-04-23T00:02:21,1,1.65
9.336,2026-04-23T00:02:22,0,7813.02
9.336,2026-04-23T00:02:22,1,1.65
10.383,2026-04-23T00:02:23,0,7813.02
10.383,2026-04-23T00:02:23,1,1.65
11.430,2026-04-23T00:02:24,0,7813.02
11.430,2026-04-23T00:02:24,1,1.65
12.473,2026-04-23T00:02:25,0,7813.02
12.473,2026-04-23T00:02:25,1,1.65
13.515,2026-04-23T00:02:26,0,7813.02
13.515,2026-04-23T00:02:26,1,1.65
14.562,2026-04-23T00:02:27,0,7813.02
14.562,2026-04-23T00:02:27,1,1.65
15.604,2026-04-23T00:02:28,0,7813.02
15.604,2026-04-23T00:02:28,1,1.65
16.650,2026-04-23T00:02:30,0,7813.02
16.650,2026-04-23T00:02:30,1,1.65
17.693,2026-04-23T00:02:31,0,7813.02
17.693,2026-04-23T00:02:31,1,1.65
18.739,2026-04-23T00:02:32,0,7813.02
18.739,2026-04-23T00:02:32,1,1.65
19.781,2026-04-23T00:02:33,0,7815.04
19.781,2026-04-23T00:02:33,1,1.65
