t_seconds,iso_time,node,private_mb
0.016,2026-04-21T19:52:43,0,1.71
0.016,2026-04-21T19:52:43,1,1010.16
1.048,2026-04-21T19:52:44,0,1.71
1.048,2026-04-21T19:52:44,1,2647.79
2.129,2026-04-21T19:52:45,0,1.71
2.129,2026-04-21T19:52:45,1,4360.09
3.257,2026-04-21T19:52:46,0,1.71
3.257,2026-04-21T19:52:46,1,6142.51
4.433,2026-04-21T19:52:47,0,1.71
4.433,2026-04-21T19:52:47,1,8004.61
5.660,2026-04-21T19:52:48,0,1.71
5.660,2026-04-21T19:52:48,1,9943.38
6.943,2026-04-21T19:52:50,0,1.71
6.943,2026-04-21T19:52:50,1,11971.05
8.279,2026-04-21T19:52:51,0,1.71
8.279,2026-04-21T19:52:51,1,14078.98
9.671,2026-04-21T19:52:53,0,1.71
9.671,2026-04-21T19:52:53,1,16278.5
11.125,2026-04-21T19:52:54,0,1.77
11.125,2026-04-21T19:52:54,1,16384.03
12.581,2026-04-21T19:52:56,0,257.77
12.581,2026-04-21T19:52:56,1,16128.02
14.032,2026-04-21T19:52:57,0,513.77
14.032,2026-04-21T19:52:57,1,15872.02
15.464,2026-04-21T19:52:58,0,758.62
15.464,2026-04-21T19:52:58,1,15627.17
16.910,2026-04-21T19:53:00,0,922.7
16.910,2026-04-21T19:53:00,1,15463.1
18.352,2026-04-21T19:53:01,0,1098.23
18.352,2026-04-21T19:53:01,1,15287.56
19.808,2026-04-21T19:53:03,0,1285.48
19.808,2026-04-21T19:53:03,1,15100.32
21.272,2026-04-21T19:53:04,0,1537.77
21.272,2026-04-21T19:53:04,1,14848.02
22.730,2026-04-21T19:53:06,0,1793.77
22.730,2026-04-21T19:53:06,1,14592.02
24.174,2026-04-21T19:53:07,0,2049.77
24.174,2026-04-21T19:53:07,1,14336.02
25.620,2026-04-21T19:53:09,0,2561.77
25.620,2026-04-21T19:53:09,1,13824.02
27.046,2026-04-21T19:53:10,0,2817.77
27.046,2026-04-21T19:53:10,1,13568.02
28.480,2026-04-21T19:53:11,0,2990.61
28.480,2026-04-21T19:53:11,1,13395.18
29.908,2026-04-21T19:53:13,0,3163.65
29.908,2026-04-21T19:53:13,1,13222.14
31.344,2026-04-21T19:53:14,0,3346.12
31.344,2026-04-21T19:53:14,1,13039.67
32.797,2026-04-21T19:53:16,0,3585.77
32.797,2026-04-21T19:53:16,1,12800.02
34.239,2026-04-21T19:53:17,0,3841.77
34.239,2026-04-21T19:53:17,1,12544.02
35.664,2026-04-21T19:53:19,0,4097.77
35.664,2026-04-21T19:53:19,1,12288.02
37.100,2026-04-21T19:53:20,0,4609.77
37.100,2026-04-21T19:53:20,1,11776.02
38.521,2026-04-21T19:53:21,0,4865.77
38.521,2026-04-21T19:53:21,1,11520.02
39.949,2026-04-21T19:53:23,0,5027.16
39.949,2026-04-21T19:53:23,1,11358.63
41.370,2026-04-21T19:53:24,0,5197.07
41.370,2026-04-21T19:53:24,1,11188.73
42.810,2026-04-21T19:53:26,0,5378.68
42.810,2026-04-21T19:53:26,1,11007.12
44.252,2026-04-21T19:53:27,0,5633.75
44.252,2026-04-21T19:53:27,1,10752.04
45.673,2026-04-21T19:53:29,0,5889.75
45.673,2026-04-21T19:53:29,1,10496.04
47.093,2026-04-21T19:53:30,0,6145.75
47.093,2026-04-21T19:53:30,1,10240.04
48.504,2026-04-21T19:53:31,0,6401.75
48.504,2026-04-21T19:53:31,1,9984.04
49.935,2026-04-21T19:53:33,0,6657.75
49.935,2026-04-21T19:53:33,1,9728.04
51.344,2026-04-21T19:53:34,0,6913.75
51.344,2026-04-21T19:53:34,1,9472.04
52.768,2026-04-21T19:53:36,0,7169.75
52.768,2026-04-21T19:53:36,1,9216.04
54.179,2026-04-21T19:53:37,0,7425.75
54.179,2026-04-21T19:53:37,1,8960.04
55.581,2026-04-21T19:53:38,0,7681.75
55.581,2026-04-21T19:53:38,1,8704.04
56.977,2026-04-21T19:53:40,0,7814.38
56.977,2026-04-21T19:53:40,1,8571.42
58.393,2026-04-21T19:53:41,0,7937.75
58.393,2026-04-21T19:53:41,1,8448.04
59.813,2026-04-21T19:53:43,0,8193.75
59.813,2026-04-21T19:53:43,1,8192.04
61.225,2026-04-21T19:53:44,0,8449.75
61.225,2026-04-21T19:53:44,1,7936.04
62.645,2026-04-21T19:53:46,0,8705.75
62.645,2026-04-21T19:53:46,1,7680.04
64.039,2026-04-21T19:53:47,0,8961.75
64.039,2026-04-21T19:53:47,1,7424.04
65.453,2026-04-21T19:53:48,0,9217.75
65.453,2026-04-21T19:53:48,1,7168.04
66.852,2026-04-21T19:53:50,0,9473.75
66.852,2026-04-21T19:53:50,1,6912.04
68.246,2026-04-21T19:53:51,0,9729.75
68.246,2026-04-21T19:53:51,1,6656.04
69.639,2026-04-21T19:53:53,0,9847.54
69.639,2026-04-21T19:53:53,1,6538.26
71.043,2026-04-21T19:53:54,0,10006.7
71.043,2026-04-21T19:53:54,1,6379.1
72.447,2026-04-21T19:53:55,0,10241.75
72.447,2026-04-21T19:53:55,1,6144.04
73.845,2026-04-21T19:53:57,0,10497.75
73.845,2026-04-21T19:53:57,1,5888.04
75.245,2026-04-21T19:53:58,0,10753.75
75.245,2026-04-21T19:53:58,1,5632.04
76.649,2026-04-21T19:54:00,0,11009.75
76.649,2026-04-21T19:54:00,1,5376.04
78.036,2026-04-21T19:54:01,0,11265.75
78.036,2026-04-21T19:54:01,1,5120.04
79.438,2026-04-21T19:54:02,0,11521.75
79.438,2026-04-21T19:54:02,1,4864.04
80.822,2026-04-21T19:54:04,0,11684.79
80.822,2026-04-21T19:54:04,1,4701.0
82.217,2026-04-21T19:54:05,0,11839.23
82.217,2026-04-21T19:54:05,1,4546.57
83.608,2026-04-21T19:54:06,0,12033.75
83.608,2026-04-21T19:54:06,1,4352.04
84.995,2026-04-21T19:54:08,0,12289.75
84.995,2026-04-21T19:54:08,1,4096.05
86.385,2026-04-21T19:54:09,0,12289.75
86.385,2026-04-21T19:54:09,1,4096.05
87.764,2026-04-21T19:54:11,0,12289.75
87.764,2026-04-21T19:54:11,1,4096.05
89.147,2026-04-21T19:54:12,0,12289.75
89.147,2026-04-21T19:54:12,1,4096.05
90.537,2026-04-21T19:54:13,0,12289.75
90.537,2026-04-21T19:54:13,1,4096.05
91.923,2026-04-21T19:54:15,0,12289.75
91.923,2026-04-21T19:54:15,1,4096.05
93.304,2026-04-21T19:54:16,0,12289.75
93.304,2026-04-21T19:54:16,1,4096.05
94.694,2026-04-21T19:54:18,0,12289.75
94.694,2026-04-21T19:54:18,1,4096.05
96.086,2026-04-21T19:54:19,0,12289.75
