t_seconds,iso_time,node,private_mb
0.016,2026-04-21T20:04:32,0,1.71
0.016,2026-04-21T20:04:32,1,1059.86
1.049,2026-04-21T20:04:33,0,1.71
1.049,2026-04-21T20:04:33,1,2703.47
2.127,2026-04-21T20:04:34,0,1.71
2.127,2026-04-21T20:04:34,1,4423.42
3.255,2026-04-21T20:04:35,0,1.71
3.255,2026-04-21T20:04:35,1,6219.12
4.433,2026-04-21T20:04:36,0,1.71
4.433,2026-04-21T20:04:36,1,8090.38
5.664,2026-04-21T20:04:38,0,1.71
5.664,2026-04-21T20:04:38,1,10042.71
6.948,2026-04-21T20:04:39,0,1.71
6.948,2026-04-21T20:04:39,1,12076.94
8.291,2026-04-21T20:04:40,0,1.71
8.291,2026-04-21T20:04:40,1,14196.52
9.686,2026-04-21T20:04:42,0,1.71
9.686,2026-04-21T20:04:42,1,16384.03
11.142,2026-04-21T20:04:43,0,1.77
11.142,2026-04-21T20:04:43,1,16384.03
12.582,2026-04-21T20:04:45,0,1.77
12.582,2026-04-21T20:04:45,1,16384.03
14.021,2026-04-21T20:04:46,0,1.77
14.021,2026-04-21T20:04:46,1,16384.03
15.462,2026-04-21T20:04:48,0,1.77
15.462,2026-04-21T20:04:48,1,16384.03
16.907,2026-04-21T20:04:49,0,1.77
16.907,2026-04-21T20:04:49,1,16384.03
18.352,2026-04-21T20:04:50,0,1.77
18.352,2026-04-21T20:04:50,1,16384.03
19.809,2026-04-21T20:04:52,0,1.77
19.809,2026-04-21T20:04:52,1,16384.03
21.274,2026-04-21T20:04:53,0,1.77
21.274,2026-04-21T20:04:53,1,16384.03
22.734,2026-04-21T20:04:55,0,1.77
22.734,2026-04-21T20:04:55,1,16384.03
24.188,2026-04-21T20:04:56,0,1.77
24.188,2026-04-21T20:04:56,1,16384.03
25.642,2026-04-21T20:04:58,0,1.77
25.642,2026-04-21T20:04:58,1,16384.03
27.094,2026-04-21T20:04:59,0,1.77
27.094,2026-04-21T20:04:59,1,16384.03
28.545,2026-04-21T20:05:01,0,1.77
28.545,2026-04-21T20:05:01,1,16384.03
29.998,2026-04-21T20:05:02,0,1.77
29.998,2026-04-21T20:05:02,1,16384.03
31.444,2026-04-21T20:05:04,0,1.77
31.444,2026-04-21T20:05:04,1,16384.03
32.887,2026-04-21T20:05:05,0,1.77
32.887,2026-04-21T20:05:05,1,16384.03
34.322,2026-04-21T20:05:06,0,1.77
34.322,2026-04-21T20:05:06,1,16384.03
35.771,2026-04-21T20:05:08,0,1.77
35.771,2026-04-21T20:05:08,1,16384.03
37.223,2026-04-21T20:05:09,0,1.77
37.223,2026-04-21T20:05:09,1,16384.03
38.671,2026-04-21T20:05:11,0,1.77
38.671,2026-04-21T20:05:11,1,16384.03
40.128,2026-04-21T20:05:12,0,1.77
40.128,2026-04-21T20:05:12,1,16384.03
41.583,2026-04-21T20:05:14,0,1.77
41.583,2026-04-21T20:05:14,1,16384.03
43.026,2026-04-21T20:05:15,0,1.77
43.026,2026-04-21T20:05:15,1,16384.03
44.480,2026-04-21T20:05:17,0,1.77
44.480,2026-04-21T20:05:17,1,16384.03
45.932,2026-04-21T20:05:18,0,1.77
45.932,2026-04-21T20:05:18,1,16384.03
47.377,2026-04-21T20:05:19,0,1.77
47.377,2026-04-21T20:05:19,1,16384.03
48.816,2026-04-21T20:05:21,0,1.77
48.816,2026-04-21T20:05:21,1,16384.03
50.253,2026-04-21T20:05:22,0,1.77
50.253,2026-04-21T20:05:22,1,16384.03
51.696,2026-04-21T20:05:24,0,1.77
51.696,2026-04-21T20:05:24,1,16384.03
53.135,2026-04-21T20:05:25,0,1.77
53.135,2026-04-21T20:05:25,1,16384.03
54.572,2026-04-21T20:05:27,0,1.77
54.572,2026-04-21T20:05:27,1,16384.03
56.022,2026-04-21T20:05:28,0,1.77
56.022,2026-04-21T20:05:28,1,16384.03
57.474,2026-04-21T20:05:30,0,1.77
57.474,2026-04-21T20:05:30,1,16384.03
58.920,2026-04-21T20:05:31,0,1.77
58.920,2026-04-21T20:05:31,1,16384.03
60.375,2026-04-21T20:05:32,0,1.77
60.375,2026-04-21T20:05:32,1,16384.03
61.827,2026-04-21T20:05:34,0,1.77
61.827,2026-04-21T20:05:34,1,16384.03
63.278,2026-04-21T20:05:35,0,1.77
63.278,2026-04-21T20:05:35,1,16384.03
64.728,2026-04-21T20:05:37,0,1.77
64.728,2026-04-21T20:05:37,1,16384.03
66.171,2026-04-21T20:05:38,0,1.77
66.171,2026-04-21T20:05:38,1,16384.03
67.616,2026-04-21T20:05:40,0,1.77
67.616,2026-04-21T20:05:40,1,16384.03
69.057,2026-04-21T20:05:41,0,1.77
69.057,2026-04-21T20:05:41,1,16384.03
70.491,2026-04-21T20:05:43,0,1.77
70.491,2026-04-21T20:05:43,1,16384.03
71.932,2026-04-21T20:05:44,0,1.77
71.932,2026-04-21T20:05:44,1,16384.03
73.375,2026-04-21T20:05:45,0,1.77
73.375,2026-04-21T20:05:45,1,16384.03
74.819,2026-04-21T20:05:47,0,1.77
74.819,2026-04-21T20:05:47,1,16384.03
76.271,2026-04-21T20:05:48,0,1.77
76.271,2026-04-21T20:05:48,1,16384.03
77.723,2026-04-21T20:05:50,0,1.77
77.723,2026-04-21T20:05:50,1,16384.03
79.175,2026-04-21T20:05:51,0,1.77
79.175,2026-04-21T20:05:51,1,16384.03
80.628,2026-04-21T20:05:53,0,1.77
80.628,2026-04-21T20:05:53,1,16384.03
82.077,2026-04-21T20:05:54,0,1.77
82.077,2026-04-21T20:05:54,1,16384.03
83.530,2026-04-21T20:05:56,0,1.77
83.530,2026-04-21T20:05:56,1,16384.03
84.980,2026-04-21T20:05:57,0,1.77
84.980,2026-04-21T20:05:57,1,0.03
