t_seconds,iso_time,node,private_mb
0.016,2026-04-22T22:57:01,0,0.18
0.016,2026-04-22T22:57:01,1,985.65
1.026,2026-04-22T22:57:02,0,0.18
1.026,2026-04-22T22:57:02,1,2654.51
2.045,2026-04-22T22:57:03,0,0.18
2.045,2026-04-22T22:57:03,1,4339.89
3.073,2026-04-22T22:57:04,0,0.18
3.073,2026-04-22T22:57:04,1,6039.11
4.110,2026-04-22T22:57:05,0,0.18
4.110,2026-04-22T22:57:05,1,7754.59
5.157,2026-04-22T22:57:06,0,0.18
5.157,2026-04-22T22:57:06,1,9481.64
6.212,2026-04-22T22:57:08,0,0.18
6.212,2026-04-22T22:57:08,1,11227.81
7.277,2026-04-22T22:57:09,0,0.18
7.277,2026-04-22T22:57:09,1,12983.58
8.350,2026-04-22T22:57:10,0,0.18
8.350,2026-04-22T22:57:10,1,14756.8
9.433,2026-04-22T22:57:11,0,0.18
9.433,2026-04-22T22:57:11,1,16385.62
10.525,2026-04-22T22:57:12,0,0.18
10.525,2026-04-22T22:57:12,1,16385.62
11.623,2026-04-22T22:57:13,0,0.18
11.623,2026-04-22T22:57:13,1,16385.62
12.718,2026-04-22T22:57:14,0,0.18
12.718,2026-04-22T22:57:14,1,16385.62
13.811,2026-04-22T22:57:15,0,0.18
13.811,2026-04-22T22:57:15,1,16385.62
14.910,2026-04-22T22:57:16,0,0.18
14.910,2026-04-22T22:57:16,1,16385.62
16.008,2026-04-22T22:57:17,0,0.18
16.008,2026-04-22T22:57:17,1,16385.62
17.102,2026-04-22T22:57:18,0,0.18
17.102,2026-04-22T22:57:18,1,16385.62
18.197,2026-04-22T22:57:20,0,0.18
18.197,2026-04-22T22:57:20,1,16385.62
19.295,2026-04-22T22:57:21,0,0.18
19.295,2026-04-22T22:57:21,1,16385.62
20.385,2026-04-22T22:57:22,0,0.18
20.385,2026-04-22T22:57:22,1,16385.62
21.478,2026-04-22T22:57:23,0,0.18
21.478,2026-04-22T22:57:23,1,16385.62
22.576,2026-04-22T22:57:24,0,0.18
22.576,2026-04-22T22:57:24,1,16385.62
23.660,2026-04-22T22:57:25,0,0.18
23.660,2026-04-22T22:57:25,1,16385.62
24.753,2026-04-22T22:57:26,0,0.18
24.753,2026-04-22T22:57:26,1,16385.62
25.850,2026-04-22T22:57:27,0,0.18
25.850,2026-04-22T22:57:27,1,16385.62
26.948,2026-04-22T22:57:28,0,0.18
26.948,2026-04-22T22:57:28,1,16385.62
28.042,2026-04-22T22:57:29,0,0.18
28.042,2026-04-22T22:57:29,1,16385.62
29.136,2026-04-22T22:57:30,0,0.18
29.136,2026-04-22T22:57:30,1,16385.62
30.234,2026-04-22T22:57:32,0,0.18
30.234,2026-04-22T22:57:32,1,16385.62
31.331,2026-04-22T22:57:33,0,0.18
31.331,2026-04-22T22:57:33,1,16385.62
32.413,2026-04-22T22:57:34,0,0.18
32.413,2026-04-22T22:57:34,1,16385.62
33.509,2026-04-22T22:57:35,0,0.18
33.509,2026-04-22T22:57:35,1,16385.62
34.607,2026-04-22T22:57:36,0,0.18
34.607,2026-04-22T22:57:36,1,16385.62
35.700,2026-04-22T22:57:37,0,0.18
35.700,2026-04-22T22:57:37,1,16385.62
36.793,2026-04-22T22:57:38,0,0.18
36.793,2026-04-22T22:57:38,1,16385.62
37.892,2026-04-22T22:57:39,0,0.18
37.892,2026-04-22T22:57:39,1,16385.62
38.990,2026-04-22T22:57:40,0,0.18
38.990,2026-04-22T22:57:40,1,16385.62
40.082,2026-04-22T22:57:41,0,0.18
40.082,2026-04-22T22:57:41,1,16385.62
41.178,2026-04-22T22:57:43,0,0.18
41.178,2026-04-22T22:57:43,1,16385.62
