t_seconds,iso_time,node,private_mb
0.022,2026-04-22T19:49:58,0,0.18
0.022,2026-04-22T19:49:58,1,1373.14
1.040,2026-04-22T19:49:59,0,0.18
1.040,2026-04-22T19:49:59,1,3045.97
2.062,2026-04-22T19:50:00,0,0.18
2.062,2026-04-22T19:50:00,1,4731.27
3.094,2026-04-22T19:50:01,0,0.18
3.094,2026-04-22T19:50:01,1,6429.75
4.136,2026-04-22T19:50:02,0,0.18
4.136,2026-04-22T19:50:02,1,8142.64
5.186,2026-04-22T19:50:03,0,0.18
5.186,2026-04-22T19:50:03,1,9870.79
6.241,2026-04-22T19:50:04,0,0.18
6.241,2026-04-22T19:50:04,1,11617.53
7.309,2026-04-22T19:50:05,0,0.18
7.309,2026-04-22T19:50:05,1,13382.12
8.385,2026-04-22T19:50:06,0,0.18
8.385,2026-04-22T19:50:06,1,15162.81
9.472,2026-04-22T19:50:07,0,0.18
9.472,2026-04-22T19:50:07,1,16385.62
10.570,2026-04-22T19:50:08,0,0.18
10.570,2026-04-22T19:50:08,1,16385.62
11.669,2026-04-22T19:50:10,0,0.18
11.669,2026-04-22T19:50:10,1,16385.62
12.764,2026-04-22T19:50:11,0,0.18
12.764,2026-04-22T19:50:11,1,16385.62
13.860,2026-04-22T19:50:12,0,0.18
13.860,2026-04-22T19:50:12,1,16385.62
14.961,2026-04-22T19:50:13,0,0.18
14.961,2026-04-22T19:50:13,1,16385.62
16.061,2026-04-22T19:50:14,0,0.18
16.061,2026-04-22T19:50:14,1,16385.62
17.157,2026-04-22T19:50:15,0,0.18
17.157,2026-04-22T19:50:15,1,16385.62
18.248,2026-04-22T19:50:16,0,0.18
18.248,2026-04-22T19:50:16,1,16385.62
19.349,2026-04-22T19:50:17,0,0.18
19.349,2026-04-22T19:50:17,1,16385.62
20.448,2026-04-22T19:50:18,0,0.18
20.448,2026-04-22T19:50:18,1,16385.62
21.545,2026-04-22T19:50:19,0,0.18
21.545,2026-04-22T19:50:19,1,16385.62
22.640,2026-04-22T19:50:20,0,0.18
22.640,2026-04-22T19:50:20,1,16385.62
23.739,2026-04-22T19:50:22,0,0.18
23.739,2026-04-22T19:50:22,1,16385.62
24.838,2026-04-22T19:50:23,0,0.18
24.838,2026-04-22T19:50:23,1,16385.62
25.937,2026-04-22T19:50:24,0,0.18
25.937,2026-04-22T19:50:24,1,16385.62
27.033,2026-04-22T19:50:25,0,0.18
27.033,2026-04-22T19:50:25,1,16385.62
28.130,2026-04-22T19:50:26,0,0.18
28.130,2026-04-22T19:50:26,1,16385.62
29.232,2026-04-22T19:50:27,0,0.18
29.232,2026-04-22T19:50:27,1,16385.62
30.331,2026-04-22T19:50:28,0,0.18
30.331,2026-04-22T19:50:28,1,16385.62
31.426,2026-04-22T19:50:29,0,0.18
31.426,2026-04-22T19:50:29,1,16385.62
32.522,2026-04-22T19:50:30,0,0.18
32.522,2026-04-22T19:50:30,1,16385.62
33.622,2026-04-22T19:50:31,0,0.18
33.622,2026-04-22T19:50:31,1,16385.62
34.721,2026-04-22T19:50:33,0,0.18
34.721,2026-04-22T19:50:33,1,16385.62
35.802,2026-04-22T19:50:34,0,0.18
35.802,2026-04-22T19:50:34,1,16385.62
36.898,2026-04-22T19:50:35,0,0.18
36.898,2026-04-22T19:50:35,1,16385.62
37.998,2026-04-22T19:50:36,0,0.18
37.998,2026-04-22T19:50:36,1,16385.62
39.099,2026-04-22T19:50:37,0,0.18
39.099,2026-04-22T19:50:37,1,16385.62
40.196,2026-04-22T19:50:38,0,0.18
40.196,2026-04-22T19:50:38,1,16385.62
41.283,2026-04-22T19:50:39,0,0.18
41.283,2026-04-22T19:50:39,1,16385.62
42.384,2026-04-22T19:50:40,0,0.18
42.384,2026-04-22T19:50:40,1,16385.62
43.470,2026-04-22T19:50:41,0,0.18
43.470,2026-04-22T19:50:41,1,16385.62
44.565,2026-04-22T19:50:42,0,0.18
44.565,2026-04-22T19:50:42,1,16385.62
45.662,2026-04-22T19:50:44,0,0.18
45.662,2026-04-22T19:50:44,1,16385.62
46.760,2026-04-22T19:50:45,0,0.18
46.760,2026-04-22T19:50:45,1,16385.62
47.860,2026-04-22T19:50:46,0,0.18
47.860,2026-04-22T19:50:46,1,16385.62
48.955,2026-04-22T19:50:47,0,0.18
48.955,2026-04-22T19:50:47,1,16385.62
50.052,2026-04-22T19:50:48,0,0.18
50.052,2026-04-22T19:50:48,1,16385.62
51.155,2026-04-22T19:50:49,0,0.18
51.155,2026-04-22T19:50:49,1,16385.62
52.251,2026-04-22T19:50:50,0,0.18
52.251,2026-04-22T19:50:50,1,16385.62
53.349,2026-04-22T19:50:51,0,0.18
53.349,2026-04-22T19:50:51,1,16385.62
54.445,2026-04-22T19:50:52,0,0.18
54.445,2026-04-22T19:50:52,1,16385.62
55.545,2026-04-22T19:50:53,0,0.18
55.545,2026-04-22T19:50:53,1,16385.62
56.645,2026-04-22T19:50:54,0,0.18
56.645,2026-04-22T19:50:54,1,16385.62
57.744,2026-04-22T19:50:56,0,0.18
57.744,2026-04-22T19:50:56,1,16385.62
58.839,2026-04-22T19:50:57,0,0.18
58.839,2026-04-22T19:50:57,1,16385.62
59.937,2026-04-22T19:50:58,0,0.18
59.937,2026-04-22T19:50:58,1,16385.62
61.038,2026-04-22T19:50:59,0,0.18
61.038,2026-04-22T19:50:59,1,16385.62
62.138,2026-04-22T19:51:00,0,0.18
62.138,2026-04-22T19:51:00,1,16385.62
63.234,2026-04-22T19:51:01,0,0.18
63.234,2026-04-22T19:51:01,1,16385.62
64.332,2026-04-22T19:51:02,0,0.18
64.332,2026-04-22T19:51:02,1,16385.62
65.434,2026-04-22T19:51:03,0,0.18
65.434,2026-04-22T19:51:03,1,16385.62
66.533,2026-04-22T19:51:04,0,0.18
66.533,2026-04-22T19:51:04,1,16385.62
67.629,2026-04-22T19:51:05,0,0.18
67.629,2026-04-22T19:51:05,1,16385.62
68.727,2026-04-22T19:51:07,0,0.18
68.727,2026-04-22T19:51:07,1,16385.62
69.829,2026-04-22T19:51:08,0,0.18
69.829,2026-04-22T19:51:08,1,16385.62
70.929,2026-04-22T19:51:09,0,0.18
70.929,2026-04-22T19:51:09,1,16385.62
72.017,2026-04-22T19:51:10,0,0.18
72.017,2026-04-22T19:51:10,1,16385.62
73.115,2026-04-22T19:51:11,0,0.18
73.115,2026-04-22T19:51:11,1,16385.62
74.217,2026-04-22T19:51:12,0,0.18
74.217,2026-04-22T19:51:12,1,16385.62
75.318,2026-04-22T19:51:13,0,0.18
75.318,2026-04-22T19:51:13,1,16385.62
76.415,2026-04-22T19:51:14,0,0.18
76.415,2026-04-22T19:51:14,1,16385.62
77.511,2026-04-22T19:51:15,0,0.18
77.511,2026-04-22T19:51:15,1,16385.62
78.613,2026-04-22T19:51:16,0,0.18
78.613,2026-04-22T19:51:16,1,16385.62
79.714,2026-04-22T19:51:18,0,0.18
79.714,2026-04-22T19:51:18,1,16385.62
80.813,2026-04-22T19:51:19,0,0.18
80.813,2026-04-22T19:51:19,1,16385.62
81.908,2026-04-22T19:51:20,0,0.18
81.908,2026-04-22T19:51:20,1,16385.62
83.007,2026-04-22T19:51:21,0,0.18
83.007,2026-04-22T19:51:21,1,16385.62
84.101,2026-04-22T19:51:22,0,0.18
84.101,2026-04-22T19:51:22,1,16385.62
85.191,2026-04-22T19:51:23,0,0.18
85.191,2026-04-22T19:51:23,1,16385.62
86.278,2026-04-22T19:51:24,0,0.18
86.278,2026-04-22T19:51:24,1,16385.62
87.372,2026-04-22T19:51:25,0,0.18
87.372,2026-04-22T19:51:25,1,16385.62
88.465,2026-04-22T19:51:26,0,0.18
88.465,2026-04-22T19:51:26,1,16385.62
89.554,2026-04-22T19:51:27,0,0.18
89.554,2026-04-22T19:51:27,1,16385.62
90.641,2026-04-22T19:51:28,0,0.18
90.641,2026-04-22T19:51:28,1,16385.62
91.742,2026-04-22T19:51:30,0,0.18
91.742,2026-04-22T19:51:30,1,16385.62
92.842,2026-04-22T19:51:31,0,0.18
92.842,2026-04-22T19:51:31,1,16385.62
93.939,2026-04-22T19:51:32,0,0.18
93.939,2026-04-22T19:51:32,1,16385.62
95.035,2026-04-22T19:51:33,0,0.18
95.035,2026-04-22T19:51:33,1,16385.62
96.129,2026-04-22T19:51:34,0,0.18
96.129,2026-04-22T19:51:34,1,16385.62
97.222,2026-04-22T19:51:35,0,0.18
97.222,2026-04-22T19:51:35,1,16385.62
98.311,2026-04-22T19:51:36,0,0.18
98.311,2026-04-22T19:51:36,1,16385.62
99.398,2026-04-22T19:51:37,0,0.18
99.398,2026-04-22T19:51:37,1,16385.62
100.492,2026-04-22T19:51:38,0,0.18
100.492,2026-04-22T19:51:38,1,16385.62
101.585,2026-04-22T19:51:39,0,0.18
101.585,2026-04-22T19:51:39,1,16385.62
102.675,2026-04-22T19:51:41,0,0.18
102.675,2026-04-22T19:51:41,1,16385.62
103.770,2026-04-22T19:51:42,0,0.18
103.770,2026-04-22T19:51:42,1,16385.62
104.872,2026-04-22T19:51:43,0,0.18
104.872,2026-04-22T19:51:43,1,16385.62
105.972,2026-04-22T19:51:44,0,0.18
105.972,2026-04-22T19:51:44,1,16385.62
107.071,2026-04-22T19:51:45,0,0.18
107.071,2026-04-22T19:51:45,1,16385.62
108.158,2026-04-22T19:51:46,0,0.18
108.158,2026-04-22T19:51:46,1,16385.62
109.250,2026-04-22T19:51:47,0,0.18
109.250,2026-04-22T19:51:47,1,16385.62
110.345,2026-04-22T19:51:48,0,0.18
110.345,2026-04-22T19:51:48,1,16385.62
111.436,2026-04-22T19:51:49,0,0.18
111.436,2026-04-22T19:51:49,1,16385.62
112.523,2026-04-22T19:51:50,0,0.18
112.523,2026-04-22T19:51:50,1,16385.62
113.616,2026-04-22T19:51:51,0,0.18
113.616,2026-04-22T19:51:51,1,16385.62
114.709,2026-04-22T19:51:53,0,0.18
114.709,2026-04-22T19:51:53,1,16385.62
115.807,2026-04-22T19:51:54,0,0.18
115.807,2026-04-22T19:51:54,1,16385.62
116.903,2026-04-22T19:51:55,0,0.18
116.903,2026-04-22T19:51:55,1,16385.62
118.002,2026-04-22T19:51:56,0,0.18
118.002,2026-04-22T19:51:56,1,16385.62
119.103,2026-04-22T19:51:57,0,0.18
119.103,2026-04-22T19:51:57,1,16385.62
