t_seconds,iso_time,node,private_mb
0.017,2026-04-22T20:00:08,0,0.18
0.017,2026-04-22T20:00:08,1,1084.8
1.029,2026-04-22T20:00:09,0,0.18
1.029,2026-04-22T20:00:09,1,2757.02
2.049,2026-04-22T20:00:10,0,0.18
2.049,2026-04-22T20:00:10,1,4438.65
3.076,2026-04-22T20:00:11,0,0.18
3.076,2026-04-22T20:00:11,1,6136.4
4.110,2026-04-22T20:00:12,0,0.18
4.110,2026-04-22T20:00:12,1,7855.5
5.159,2026-04-22T20:00:13,0,0.18
5.159,2026-04-22T20:00:13,1,9586.97
6.216,2026-04-22T20:00:14,0,0.18
6.216,2026-04-22T20:00:14,1,11319.24
7.276,2026-04-22T20:00:16,0,0.18
7.276,2026-04-22T20:00:16,1,13059.48
8.343,2026-04-22T20:00:17,0,0.18
8.343,2026-04-22T20:00:17,1,14832.23
9.430,2026-04-22T20:00:18,0,0.18
9.430,2026-04-22T20:00:18,1,16385.62
10.513,2026-04-22T20:00:19,0,0.18
10.513,2026-04-22T20:00:19,1,16385.62
11.605,2026-04-22T20:00:20,0,0.18
11.605,2026-04-22T20:00:20,1,16385.62
12.691,2026-04-22T20:00:21,0,0.18
12.691,2026-04-22T20:00:21,1,16385.62
13.787,2026-04-22T20:00:22,0,0.18
13.787,2026-04-22T20:00:22,1,16385.62
14.879,2026-04-22T20:00:23,0,0.18
14.879,2026-04-22T20:00:23,1,16385.62
15.965,2026-04-22T20:00:24,0,0.18
15.965,2026-04-22T20:00:24,1,16385.62
17.048,2026-04-22T20:00:25,0,0.18
17.048,2026-04-22T20:00:25,1,16385.62
18.131,2026-04-22T20:00:26,0,0.18
18.131,2026-04-22T20:00:26,1,16385.62
19.217,2026-04-22T20:00:27,0,0.18
19.217,2026-04-22T20:00:27,1,16385.62
20.299,2026-04-22T20:00:29,0,0.18
20.299,2026-04-22T20:00:29,1,16385.62
21.395,2026-04-22T20:00:30,0,0.18
21.395,2026-04-22T20:00:30,1,16385.62
22.482,2026-04-22T20:00:31,0,0.18
22.482,2026-04-22T20:00:31,1,16385.62
23.568,2026-04-22T20:00:32,0,0.18
23.568,2026-04-22T20:00:32,1,16385.62
24.653,2026-04-22T20:00:33,0,0.18
24.653,2026-04-22T20:00:33,1,16385.62
25.740,2026-04-22T20:00:34,0,0.18
25.740,2026-04-22T20:00:34,1,16385.62
26.825,2026-04-22T20:00:35,0,0.18
26.825,2026-04-22T20:00:35,1,16385.62
27.905,2026-04-22T20:00:36,0,0.18
27.905,2026-04-22T20:00:36,1,16385.62
28.987,2026-04-22T20:00:37,0,0.18
28.987,2026-04-22T20:00:37,1,16385.62
30.073,2026-04-22T20:00:38,0,0.18
30.073,2026-04-22T20:00:38,1,16385.62
31.157,2026-04-22T20:00:39,0,0.18
31.157,2026-04-22T20:00:39,1,16385.62
32.239,2026-04-22T20:00:41,0,0.18
32.239,2026-04-22T20:00:41,1,16385.62
33.341,2026-04-22T20:00:42,0,0.18
33.341,2026-04-22T20:00:42,1,16385.62
34.425,2026-04-22T20:00:43,0,0.18
34.425,2026-04-22T20:00:43,1,16385.62
35.508,2026-04-22T20:00:44,0,0.18
35.508,2026-04-22T20:00:44,1,16385.62
36.606,2026-04-22T20:00:45,0,0.18
36.606,2026-04-22T20:00:45,1,16385.62
37.707,2026-04-22T20:00:46,0,0.18
37.707,2026-04-22T20:00:46,1,16385.62
38.795,2026-04-22T20:00:47,0,0.18
38.795,2026-04-22T20:00:47,1,16385.62
39.882,2026-04-22T20:00:48,0,0.18
39.882,2026-04-22T20:00:48,1,16385.62
40.968,2026-04-22T20:00:49,0,0.18
40.968,2026-04-22T20:00:49,1,16385.62
42.054,2026-04-22T20:00:50,0,0.18
42.054,2026-04-22T20:00:50,1,16385.62
43.135,2026-04-22T20:00:51,0,0.18
43.135,2026-04-22T20:00:51,1,16385.62
44.220,2026-04-22T20:00:53,0,0.18
44.220,2026-04-22T20:00:53,1,16385.62
45.322,2026-04-22T20:00:54,0,0.18
45.322,2026-04-22T20:00:54,1,16385.62
46.405,2026-04-22T20:00:55,0,0.18
46.405,2026-04-22T20:00:55,1,16385.62
47.487,2026-04-22T20:00:56,0,0.18
47.487,2026-04-22T20:00:56,1,16385.62
48.573,2026-04-22T20:00:57,0,0.18
48.573,2026-04-22T20:00:57,1,16385.62
49.658,2026-04-22T20:00:58,0,0.18
49.658,2026-04-22T20:00:58,1,16385.62
50.754,2026-04-22T20:00:59,0,0.18
50.754,2026-04-22T20:00:59,1,16385.62
51.838,2026-04-22T20:01:00,0,0.18
51.838,2026-04-22T20:01:00,1,16385.62
52.911,2026-04-22T20:01:01,0,0.18
52.911,2026-04-22T20:01:01,1,16385.62
53.998,2026-04-22T20:01:02,0,0.18
53.998,2026-04-22T20:01:02,1,16385.62
55.082,2026-04-22T20:01:03,0,0.18
55.082,2026-04-22T20:01:03,1,16385.62
56.165,2026-04-22T20:01:04,0,0.18
56.165,2026-04-22T20:01:04,1,16385.62
57.262,2026-04-22T20:01:06,0,0.18
57.262,2026-04-22T20:01:06,1,16385.62
58.346,2026-04-22T20:01:07,0,0.18
58.346,2026-04-22T20:01:07,1,16385.62
59.431,2026-04-22T20:01:08,0,0.18
59.431,2026-04-22T20:01:08,1,16385.62
60.515,2026-04-22T20:01:09,0,0.18
60.515,2026-04-22T20:01:09,1,16385.62
61.607,2026-04-22T20:01:10,0,0.18
61.607,2026-04-22T20:01:10,1,16385.62
62.693,2026-04-22T20:01:11,0,0.18
62.693,2026-04-22T20:01:11,1,16385.62
63.794,2026-04-22T20:01:12,0,0.18
63.794,2026-04-22T20:01:12,1,16385.62
64.882,2026-04-22T20:01:13,0,0.18
64.882,2026-04-22T20:01:13,1,16385.62
65.966,2026-04-22T20:01:14,0,0.18
65.966,2026-04-22T20:01:14,1,16385.62
67.051,2026-04-22T20:01:15,0,0.18
67.051,2026-04-22T20:01:15,1,16385.62
