t_seconds,iso_time,node,private_mb
0.016,2026-04-21T19:37:17,0,1.71
0.016,2026-04-21T19:37:17,1,1023.71
1.049,2026-04-21T19:37:18,0,1.71
1.049,2026-04-21T19:37:18,1,2663.5
2.129,2026-04-21T19:37:20,0,1.71
2.129,2026-04-21T19:37:20,1,4375.06
3.257,2026-04-21T19:37:21,0,1.71
3.257,2026-04-21T19:37:21,1,6166.37
4.438,2026-04-21T19:37:22,0,1.71
4.438,2026-04-21T19:37:22,1,8039.18
5.672,2026-04-21T19:37:23,0,1.71
5.672,2026-04-21T19:37:23,1,9990.69
6.959,2026-04-21T19:37:25,0,1.71
6.959,2026-04-21T19:37:25,1,12029.36
8.303,2026-04-21T19:37:26,0,1.71
8.303,2026-04-21T19:37:26,1,14149.46
9.701,2026-04-21T19:37:27,0,1.71
9.701,2026-04-21T19:37:27,1,16358.52
11.159,2026-04-21T19:37:29,0,1.77
11.159,2026-04-21T19:37:29,1,16384.03
12.603,2026-04-21T19:37:30,0,257.77
12.603,2026-04-21T19:37:30,1,16128.02
14.071,2026-04-21T19:37:31,0,1.77
14.071,2026-04-21T19:37:31,1,0.03
15.074,2026-04-21T19:37:32,0,1.77
15.074,2026-04-21T19:37:32,1,0.03
