t_seconds,iso_time,node,private_mb
0.017,2026-04-22T21:33:07,0,0.18
0.017,2026-04-22T21:33:07,1,1023.9
1.027,2026-04-22T21:33:08,0,0.18
1.027,2026-04-22T21:33:08,1,2700.36
2.047,2026-04-22T21:33:09,0,0.18
2.047,2026-04-22T21:33:09,1,4389.53
3.075,2026-04-22T21:33:10,0,0.18
3.075,2026-04-22T21:33:10,1,6089.21
4.113,2026-04-22T21:33:11,0,0.18
4.113,2026-04-22T21:33:11,1,7801.96
5.159,2026-04-22T21:33:12,0,0.18
5.159,2026-04-22T21:33:12,1,9530.06
6.215,2026-04-22T21:33:13,0,0.18
6.215,2026-04-22T21:33:13,1,11272.65
7.280,2026-04-22T21:33:14,0,0.18
7.280,2026-04-22T21:33:14,1,13014.23
8.344,2026-04-22T21:33:15,0,0.18
8.344,2026-04-22T21:33:15,1,14785.79
9.427,2026-04-22T21:33:16,0,0.18
9.427,2026-04-22T21:33:16,1,16385.62
10.519,2026-04-22T21:33:17,0,0.18
10.519,2026-04-22T21:33:17,1,16385.62
11.618,2026-04-22T21:33:19,0,0.18
11.618,2026-04-22T21:33:19,1,16385.62
12.715,2026-04-22T21:33:20,0,0.18
12.715,2026-04-22T21:33:20,1,16385.62
13.805,2026-04-22T21:33:21,0,0.18
13.805,2026-04-22T21:33:21,1,16385.62
14.903,2026-04-22T21:33:22,0,0.18
14.903,2026-04-22T21:33:22,1,16385.62
16.002,2026-04-22T21:33:23,0,0.18
16.002,2026-04-22T21:33:23,1,16385.62
17.100,2026-04-22T21:33:24,0,0.18
17.100,2026-04-22T21:33:24,1,16385.62
18.193,2026-04-22T21:33:25,0,0.18
18.193,2026-04-22T21:33:25,1,16385.62
19.290,2026-04-22T21:33:26,0,0.18
19.290,2026-04-22T21:33:26,1,16385.62
20.377,2026-04-22T21:33:27,0,0.18
20.377,2026-04-22T21:33:27,1,16385.62
21.473,2026-04-22T21:33:28,0,0.18
21.473,2026-04-22T21:33:28,1,16385.62
22.566,2026-04-22T21:33:29,0,0.18
22.566,2026-04-22T21:33:29,1,16385.62
23.665,2026-04-22T21:33:31,0,0.18
23.665,2026-04-22T21:33:31,1,16385.62
24.763,2026-04-22T21:33:32,0,0.18
24.763,2026-04-22T21:33:32,1,16385.62
25.860,2026-04-22T21:33:33,0,0.18
25.860,2026-04-22T21:33:33,1,16385.62
26.954,2026-04-22T21:33:34,0,0.18
26.954,2026-04-22T21:33:34,1,16385.62
28.053,2026-04-22T21:33:35,0,0.18
28.053,2026-04-22T21:33:35,1,16385.62
29.151,2026-04-22T21:33:36,0,0.18
29.151,2026-04-22T21:33:36,1,16385.62
30.246,2026-04-22T21:33:37,0,0.18
30.246,2026-04-22T21:33:37,1,16385.62
31.340,2026-04-22T21:33:38,0,0.18
31.340,2026-04-22T21:33:38,1,16385.62
32.426,2026-04-22T21:33:39,0,0.18
32.426,2026-04-22T21:33:39,1,16385.62
33.524,2026-04-22T21:33:40,0,0.18
33.524,2026-04-22T21:33:40,1,16385.62
34.618,2026-04-22T21:33:42,0,0.18
34.618,2026-04-22T21:33:42,1,16385.62
35.713,2026-04-22T21:33:43,0,0.18
35.713,2026-04-22T21:33:43,1,16385.62
36.805,2026-04-22T21:33:44,0,0.18
36.805,2026-04-22T21:33:44,1,16385.62
37.894,2026-04-22T21:33:45,0,0.18
37.894,2026-04-22T21:33:45,1,16385.62
38.979,2026-04-22T21:33:46,0,0.18
38.979,2026-04-22T21:33:46,1,16385.62
40.069,2026-04-22T21:33:47,0,0.18
40.069,2026-04-22T21:33:47,1,16385.62
41.159,2026-04-22T21:33:48,0,0.18
41.159,2026-04-22T21:33:48,1,16385.62
42.243,2026-04-22T21:33:49,0,0.18
42.243,2026-04-22T21:33:49,1,16385.62
43.330,2026-04-22T21:33:50,0,0.18
43.330,2026-04-22T21:33:50,1,16385.62
44.412,2026-04-22T21:33:51,0,0.18
44.412,2026-04-22T21:33:51,1,16385.62
45.494,2026-04-22T21:33:52,0,0.18
45.494,2026-04-22T21:33:52,1,16385.62
46.572,2026-04-22T21:33:53,0,0.18
46.572,2026-04-22T21:33:53,1,16385.62
47.656,2026-04-22T21:33:55,0,0.18
47.656,2026-04-22T21:33:55,1,16385.62
