t_seconds,iso_time,node,private_mb
0.027,2026-04-22T21:23:34,0,0.18
0.027,2026-04-22T21:23:34,1,3438.71
1.057,2026-04-22T21:23:35,0,0.18
1.057,2026-04-22T21:23:35,1,5130.77
2.090,2026-04-22T21:23:36,0,0.18
2.090,2026-04-22T21:23:36,1,6834.11
3.132,2026-04-22T21:23:37,0,0.18
3.132,2026-04-22T21:23:37,1,8554.42
4.183,2026-04-22T21:23:38,0,0.18
4.183,2026-04-22T21:23:38,1,10288.68
5.242,2026-04-22T21:23:39,0,0.18
5.242,2026-04-22T21:23:39,1,12037.42
6.312,2026-04-22T21:23:41,0,0.18
6.312,2026-04-22T21:23:41,1,13800.95
7.390,2026-04-22T21:23:42,0,0.18
7.390,2026-04-22T21:23:42,1,15579.32
8.478,2026-04-22T21:23:43,0,0.18
8.478,2026-04-22T21:23:43,1,16385.62
9.577,2026-04-22T21:23:44,0,0.18
9.577,2026-04-22T21:23:44,1,16385.62
10.672,2026-04-22T21:23:45,0,0.18
10.672,2026-04-22T21:23:45,1,16385.62
11.767,2026-04-22T21:23:46,0,0.18
11.767,2026-04-22T21:23:46,1,16385.62
12.867,2026-04-22T21:23:47,0,0.18
12.867,2026-04-22T21:23:47,1,16385.62
13.965,2026-04-22T21:23:48,0,0.18
13.965,2026-04-22T21:23:48,1,16385.62
15.060,2026-04-22T21:23:49,0,0.18
15.060,2026-04-22T21:23:49,1,16385.62
16.157,2026-04-22T21:23:50,0,0.18
16.157,2026-04-22T21:23:50,1,16385.62
17.257,2026-04-22T21:23:52,0,0.18
17.257,2026-04-22T21:23:52,1,16385.62
18.352,2026-04-22T21:23:53,0,0.18
18.352,2026-04-22T21:23:53,1,16385.62
19.446,2026-04-22T21:23:54,0,0.18
19.446,2026-04-22T21:23:54,1,16385.62
20.546,2026-04-22T21:23:55,0,0.18
20.546,2026-04-22T21:23:55,1,16385.62
21.645,2026-04-22T21:23:56,0,0.18
21.645,2026-04-22T21:23:56,1,16385.62
22.740,2026-04-22T21:23:57,0,0.18
22.740,2026-04-22T21:23:57,1,16385.62
23.836,2026-04-22T21:23:58,0,0.18
23.836,2026-04-22T21:23:58,1,16385.62
24.935,2026-04-22T21:23:59,0,0.18
24.935,2026-04-22T21:23:59,1,16385.62
26.033,2026-04-22T21:24:00,0,0.18
26.033,2026-04-22T21:24:00,1,16385.62
27.126,2026-04-22T21:24:01,0,0.18
27.126,2026-04-22T21:24:01,1,16385.62
28.225,2026-04-22T21:24:03,0,0.18
28.225,2026-04-22T21:24:03,1,16385.62
29.325,2026-04-22T21:24:04,0,0.18
29.325,2026-04-22T21:24:04,1,16385.62
30.419,2026-04-22T21:24:05,0,0.18
30.419,2026-04-22T21:24:05,1,16385.62
31.514,2026-04-22T21:24:06,0,0.18
31.514,2026-04-22T21:24:06,1,16385.62
32.613,2026-04-22T21:24:07,0,0.18
32.613,2026-04-22T21:24:07,1,16385.62
33.712,2026-04-22T21:24:08,0,0.18
33.712,2026-04-22T21:24:08,1,16385.62
34.806,2026-04-22T21:24:09,0,0.18
34.806,2026-04-22T21:24:09,1,16385.62
35.903,2026-04-22T21:24:10,0,0.18
35.903,2026-04-22T21:24:10,1,16385.62
36.998,2026-04-22T21:24:11,0,0.18
36.998,2026-04-22T21:24:11,1,16385.62
38.094,2026-04-22T21:24:12,0,0.18
38.094,2026-04-22T21:24:12,1,16385.62
39.188,2026-04-22T21:24:13,0,0.18
39.188,2026-04-22T21:24:13,1,16385.62
40.287,2026-04-22T21:24:15,0,0.18
40.287,2026-04-22T21:24:15,1,16385.62
41.386,2026-04-22T21:24:16,0,0.18
41.386,2026-04-22T21:24:16,1,16385.62
42.479,2026-04-22T21:24:17,0,0.18
42.479,2026-04-22T21:24:17,1,16385.62
43.575,2026-04-22T21:24:18,0,0.18
43.575,2026-04-22T21:24:18,1,16385.62
44.674,2026-04-22T21:24:19,0,0.18
44.674,2026-04-22T21:24:19,1,16385.62
45.772,2026-04-22T21:24:20,0,0.18
45.772,2026-04-22T21:24:20,1,16385.62
46.865,2026-04-22T21:24:21,0,0.18
46.865,2026-04-22T21:24:21,1,16385.62
47.965,2026-04-22T21:24:22,0,0.18
47.965,2026-04-22T21:24:22,1,16385.62
49.048,2026-04-22T21:24:23,0,0.18
49.048,2026-04-22T21:24:23,1,16385.62
50.143,2026-04-22T21:24:24,0,0.18
50.143,2026-04-22T21:24:24,1,16385.62
51.238,2026-04-22T21:24:26,0,0.18
51.238,2026-04-22T21:24:26,1,16385.62
52.338,2026-04-22T21:24:27,0,0.18
52.338,2026-04-22T21:24:27,1,16385.62
53.436,2026-04-22T21:24:28,0,0.18
53.436,2026-04-22T21:24:28,1,16385.62
54.530,2026-04-22T21:24:29,0,0.18
54.530,2026-04-22T21:24:29,1,16385.62
55.629,2026-04-22T21:24:30,0,0.18
55.629,2026-04-22T21:24:30,1,16385.62
56.728,2026-04-22T21:24:31,0,0.18
56.728,2026-04-22T21:24:31,1,16385.62
57.822,2026-04-22T21:24:32,0,0.18
57.822,2026-04-22T21:24:32,1,16385.62
58.917,2026-04-22T21:24:33,0,0.18
58.917,2026-04-22T21:24:33,1,16385.62
60.018,2026-04-22T21:24:34,0,0.18
60.018,2026-04-22T21:24:34,1,16385.62
61.115,2026-04-22T21:24:35,0,0.18
61.115,2026-04-22T21:24:35,1,16385.62
62.208,2026-04-22T21:24:36,0,0.18
62.208,2026-04-22T21:24:36,1,16385.62
63.307,2026-04-22T21:24:38,0,0.18
63.307,2026-04-22T21:24:38,1,16385.62
64.406,2026-04-22T21:24:39,0,0.18
64.406,2026-04-22T21:24:39,1,16385.62
65.502,2026-04-22T21:24:40,0,0.18
65.502,2026-04-22T21:24:40,1,16385.62
66.596,2026-04-22T21:24:41,0,0.18
66.596,2026-04-22T21:24:41,1,16385.62
67.696,2026-04-22T21:24:42,0,0.18
67.696,2026-04-22T21:24:42,1,16385.62
68.795,2026-04-22T21:24:43,0,0.18
68.795,2026-04-22T21:24:43,1,16385.62
69.889,2026-04-22T21:24:44,0,0.18
69.889,2026-04-22T21:24:44,1,16385.62
70.986,2026-04-22T21:24:45,0,0.18
70.986,2026-04-22T21:24:45,1,16385.62
72.085,2026-04-22T21:24:46,0,0.18
72.085,2026-04-22T21:24:46,1,16385.62
73.182,2026-04-22T21:24:47,0,0.18
73.182,2026-04-22T21:24:47,1,16385.62
74.263,2026-04-22T21:24:49,0,0.18
74.263,2026-04-22T21:24:49,1,16385.62
75.363,2026-04-22T21:24:50,0,0.18
75.363,2026-04-22T21:24:50,1,16385.62
76.462,2026-04-22T21:24:51,0,0.18
76.462,2026-04-22T21:24:51,1,16385.62
77.556,2026-04-22T21:24:52,0,0.18
77.556,2026-04-22T21:24:52,1,16385.62
78.652,2026-04-22T21:24:53,0,0.18
78.652,2026-04-22T21:24:53,1,16385.62
79.744,2026-04-22T21:24:54,0,0.18
79.744,2026-04-22T21:24:54,1,16385.62
80.841,2026-04-22T21:24:55,0,0.18
80.841,2026-04-22T21:24:55,1,16385.62
81.935,2026-04-22T21:24:56,0,0.18
81.935,2026-04-22T21:24:56,1,16385.62
83.036,2026-04-22T21:24:57,0,0.18
83.036,2026-04-22T21:24:57,1,16385.62
84.135,2026-04-22T21:24:58,0,0.18
84.135,2026-04-22T21:24:58,1,16385.62
85.228,2026-04-22T21:24:59,0,0.18
85.228,2026-04-22T21:24:59,1,16385.62
86.322,2026-04-22T21:25:01,0,0.18
86.322,2026-04-22T21:25:01,1,16385.62
87.422,2026-04-22T21:25:02,0,0.18
87.422,2026-04-22T21:25:02,1,16385.62
88.520,2026-04-22T21:25:03,0,0.18
88.520,2026-04-22T21:25:03,1,16385.62
89.614,2026-04-22T21:25:04,0,0.18
89.614,2026-04-22T21:25:04,1,16385.62
90.712,2026-04-22T21:25:05,0,0.18
90.712,2026-04-22T21:25:05,1,16385.62
91.811,2026-04-22T21:25:06,0,0.18
91.811,2026-04-22T21:25:06,1,16385.62
92.907,2026-04-22T21:25:07,0,0.18
92.907,2026-04-22T21:25:07,1,16385.62
94.001,2026-04-22T21:25:08,0,0.18
94.001,2026-04-22T21:25:08,1,16385.62
95.102,2026-04-22T21:25:09,0,0.18
95.102,2026-04-22T21:25:09,1,16385.62
96.201,2026-04-22T21:25:10,0,0.18
96.201,2026-04-22T21:25:10,1,16385.62
97.296,2026-04-22T21:25:12,0,0.18
97.296,2026-04-22T21:25:12,1,16385.62
98.392,2026-04-22T21:25:13,0,0.18
98.392,2026-04-22T21:25:13,1,16385.62
99.491,2026-04-22T21:25:14,0,0.18
99.491,2026-04-22T21:25:14,1,16385.62
100.588,2026-04-22T21:25:15,0,0.18
100.588,2026-04-22T21:25:15,1,16385.62
101.681,2026-04-22T21:25:16,0,0.18
101.681,2026-04-22T21:25:16,1,16385.62
102.782,2026-04-22T21:25:17,0,0.18
102.782,2026-04-22T21:25:17,1,16385.62
103.881,2026-04-22T21:25:18,0,0.18
103.881,2026-04-22T21:25:18,1,16385.62
104.976,2026-04-22T21:25:19,0,0.18
104.976,2026-04-22T21:25:19,1,16385.62
106.071,2026-04-22T21:25:20,0,0.18
106.071,2026-04-22T21:25:20,1,16385.62
107.170,2026-04-22T21:25:21,0,0.18
107.170,2026-04-22T21:25:21,1,16385.62
108.269,2026-04-22T21:25:23,0,0.18
108.269,2026-04-22T21:25:23,1,16385.62
109.364,2026-04-22T21:25:24,0,0.18
109.364,2026-04-22T21:25:24,1,16385.62
110.462,2026-04-22T21:25:25,0,0.18
110.462,2026-04-22T21:25:25,1,16385.62
111.561,2026-04-22T21:25:26,0,0.18
111.561,2026-04-22T21:25:26,1,16385.62
112.658,2026-04-22T21:25:27,0,0.18
112.658,2026-04-22T21:25:27,1,16385.62
113.752,2026-04-22T21:25:28,0,0.18
113.752,2026-04-22T21:25:28,1,16385.62
114.852,2026-04-22T21:25:29,0,0.18
114.852,2026-04-22T21:25:29,1,16385.62
115.951,2026-04-22T21:25:30,0,0.18
115.951,2026-04-22T21:25:30,1,16385.62
117.033,2026-04-22T21:25:31,0,0.18
117.033,2026-04-22T21:25:31,1,16385.62
118.130,2026-04-22T21:25:32,0,0.18
118.130,2026-04-22T21:25:32,1,16385.62
119.230,2026-04-22T21:25:34,0,0.18
119.230,2026-04-22T21:25:34,1,16385.62
120.326,2026-04-22T21:25:35,0,0.18
120.326,2026-04-22T21:25:35,1,16385.62
121.420,2026-04-22T21:25:36,0,0.18
121.420,2026-04-22T21:25:36,1,16385.62
122.521,2026-04-22T21:25:37,0,0.18
122.521,2026-04-22T21:25:37,1,16385.62
123.619,2026-04-22T21:25:38,0,0.18
123.619,2026-04-22T21:25:38,1,16385.62
124.713,2026-04-22T21:25:39,0,0.18
124.713,2026-04-22T21:25:39,1,16385.62
125.808,2026-04-22T21:25:40,0,0.18
125.808,2026-04-22T21:25:40,1,16385.62
126.908,2026-04-22T21:25:41,0,0.18
126.908,2026-04-22T21:25:41,1,16385.62
128.005,2026-04-22T21:25:42,0,0.18
128.005,2026-04-22T21:25:42,1,16385.62
129.085,2026-04-22T21:25:43,0,0.18
129.085,2026-04-22T21:25:43,1,16385.62
130.186,2026-04-22T21:25:44,0,0.18
130.186,2026-04-22T21:25:44,1,16385.62
131.284,2026-04-22T21:25:46,0,0.18
131.284,2026-04-22T21:25:46,1,16385.62
132.378,2026-04-22T21:25:47,0,0.18
132.378,2026-04-22T21:25:47,1,16385.62
133.474,2026-04-22T21:25:48,0,0.18
133.474,2026-04-22T21:25:48,1,16385.62
134.572,2026-04-22T21:25:49,0,0.18
134.572,2026-04-22T21:25:49,1,16385.62
135.669,2026-04-22T21:25:50,0,0.18
135.669,2026-04-22T21:25:50,1,16385.62
136.761,2026-04-22T21:25:51,0,0.18
136.761,2026-04-22T21:25:51,1,16385.62
137.861,2026-04-22T21:25:52,0,0.18
137.861,2026-04-22T21:25:52,1,16385.62
138.960,2026-04-22T21:25:53,0,0.18
138.960,2026-04-22T21:25:53,1,16385.62
140.054,2026-04-22T21:25:54,0,0.18
140.054,2026-04-22T21:25:54,1,16385.62
141.134,2026-04-22T21:25:55,0,0.18
141.134,2026-04-22T21:25:55,1,16385.62
142.234,2026-04-22T21:25:57,0,0.18
142.234,2026-04-22T21:25:57,1,16385.62
143.331,2026-04-22T21:25:58,0,0.18
143.331,2026-04-22T21:25:58,1,16385.62
144.425,2026-04-22T21:25:59,0,0.18
144.425,2026-04-22T21:25:59,1,16385.62
145.526,2026-04-22T21:26:00,0,0.18
145.526,2026-04-22T21:26:00,1,16385.62
146.625,2026-04-22T21:26:01,0,0.18
146.625,2026-04-22T21:26:01,1,16385.62
147.721,2026-04-22T21:26:02,0,0.18
147.721,2026-04-22T21:26:02,1,16385.62
148.816,2026-04-22T21:26:03,0,0.18
148.816,2026-04-22T21:26:03,1,16385.62
149.916,2026-04-22T21:26:04,0,0.18
149.916,2026-04-22T21:26:04,1,16385.62
151.015,2026-04-22T21:26:05,0,0.18
151.015,2026-04-22T21:26:05,1,16385.62
152.109,2026-04-22T21:26:06,0,0.18
152.109,2026-04-22T21:26:06,1,16385.62
153.205,2026-04-22T21:26:07,0,0.18
153.205,2026-04-22T21:26:07,1,16385.62
154.305,2026-04-22T21:26:09,0,0.18
154.305,2026-04-22T21:26:09,1,16385.62
155.402,2026-04-22T21:26:10,0,0.18
155.402,2026-04-22T21:26:10,1,1.62
