t_seconds,iso_time,node,private_mb
0.016,2026-04-21T19:40:40,0,1.71
0.016,2026-04-21T19:40:40,1,1031.16
1.049,2026-04-21T19:40:41,0,1.71
1.049,2026-04-21T19:40:41,1,2667.0
2.130,2026-04-21T19:40:42,0,1.71
2.130,2026-04-21T19:40:42,1,4376.89
3.260,2026-04-21T19:40:43,0,1.71
3.260,2026-04-21T19:40:43,1,6160.91
4.443,2026-04-21T19:40:44,0,1.71
4.443,2026-04-21T19:40:44,1,8022.1
5.676,2026-04-21T19:40:46,0,1.71
5.676,2026-04-21T19:40:46,1,9955.95
6.959,2026-04-21T19:40:47,0,1.71
6.959,2026-04-21T19:40:47,1,11979.27
8.304,2026-04-21T19:40:48,0,1.71
8.304,2026-04-21T19:40:48,1,14093.23
9.702,2026-04-21T19:40:50,0,1.71
9.702,2026-04-21T19:40:50,1,16288.21
11.166,2026-04-21T19:40:51,0,1.77
11.166,2026-04-21T19:40:51,1,16384.03
12.622,2026-04-21T19:40:53,0,257.77
12.622,2026-04-21T19:40:53,1,16128.02
14.083,2026-04-21T19:40:54,0,513.77
14.083,2026-04-21T19:40:54,1,15872.02
15.543,2026-04-21T19:40:56,0,769.77
15.543,2026-04-21T19:40:56,1,15616.02
17.000,2026-04-21T19:40:57,0,1025.77
17.000,2026-04-21T19:40:57,1,15360.02
18.456,2026-04-21T19:40:59,0,1281.77
18.456,2026-04-21T19:40:59,1,15104.02
19.905,2026-04-21T19:41:00,0,1537.77
19.905,2026-04-21T19:41:00,1,14848.02
21.363,2026-04-21T19:41:02,0,1793.77
21.363,2026-04-21T19:41:02,1,14592.02
22.803,2026-04-21T19:41:03,0,2049.77
22.803,2026-04-21T19:41:03,1,14336.02
24.244,2026-04-21T19:41:04,0,2305.77
24.244,2026-04-21T19:41:04,1,14080.02
25.699,2026-04-21T19:41:06,0,2561.77
25.699,2026-04-21T19:41:06,1,13824.02
27.138,2026-04-21T19:41:07,0,2817.77
27.138,2026-04-21T19:41:07,1,13568.02
28.588,2026-04-21T19:41:09,0,3073.77
28.588,2026-04-21T19:41:09,1,13312.02
30.036,2026-04-21T19:41:10,0,3329.77
30.036,2026-04-21T19:41:10,1,13056.02
31.488,2026-04-21T19:41:12,0,3585.77
31.488,2026-04-21T19:41:12,1,12800.02
32.942,2026-04-21T19:41:13,0,3841.77
32.942,2026-04-21T19:41:13,1,12544.02
34.388,2026-04-21T19:41:15,0,4097.77
34.388,2026-04-21T19:41:15,1,12288.02
35.827,2026-04-21T19:41:16,0,4353.77
35.827,2026-04-21T19:41:16,1,12032.02
37.261,2026-04-21T19:41:17,0,4609.77
37.261,2026-04-21T19:41:17,1,11776.02
38.687,2026-04-21T19:41:19,0,4706.85
38.687,2026-04-21T19:41:19,1,11678.94
40.123,2026-04-21T19:41:20,0,5081.44
40.123,2026-04-21T19:41:20,1,11304.36
41.540,2026-04-21T19:41:22,0,5121.77
41.540,2026-04-21T19:41:22,1,11264.02
42.973,2026-04-21T19:41:23,0,5377.77
42.973,2026-04-21T19:41:23,1,11008.02
44.418,2026-04-21T19:41:25,0,5633.77
44.418,2026-04-21T19:41:25,1,10752.02
45.856,2026-04-21T19:41:26,0,5889.77
45.856,2026-04-21T19:41:26,1,10496.02
47.281,2026-04-21T19:41:27,0,6145.77
47.281,2026-04-21T19:41:27,1,10240.02
48.722,2026-04-21T19:41:29,0,6401.77
48.722,2026-04-21T19:41:29,1,9984.02
50.130,2026-04-21T19:41:30,0,1.77
50.130,2026-04-21T19:41:30,1,0.03
